time,price,deltaCategory,volume
15:00:00,2820.25,4,209
15:00:00,2820.00,1,3
15:00:00,2820.25,1,2
15:00:00,2820.50,5,3
15:00:00,2820.75,5,8
15:00:00,2820.00,1,8
15:00:00,2820.25,5,1
15:00:00,2820.75,5,3
15:00:00,2820.25,1,1
15:00:00,2820.00,1,1
15:00:00,2820.25,2,3
15:00:00,2820.50,5,1
15:00:00,2820.00,1,3
15:00:00,2820.50,5,1
15:00:00,2820.00,1,1
15:00:00,2820.75,5,5
15:00:00,2821.00,5,8
15:00:00,2821.25,5,2
15:00:00,2821.50,5,32
15:00:00,2821.75,5,7
15:00:00,2820.75,5,1
15:00:00,2821.25,5,1
15:00:00,2821.50,5,1
15:00:00,2821.75,5,1
15:00:00,2821.50,1,22
15:00:00,2821.75,5,1
15:00:00,2821.50,1,26
15:00:00,2821.75,5,16
15:00:00,2821.50,1,1
15:00:00,2821.75,5,37
15:00:00,2821.50,1,1
15:00:00,2821.75,5,1
15:00:00,2821.50,3,2
15:00:00,2821.25,5,2
15:00:00,2821.00,1,4
15:00:00,2821.25,5,2
15:00:00,2821.50,5,2
15:00:00,2821.00,1,3
15:00:00,2820.75,1,2
15:00:00,2821.00,1,1
15:00:00,2821.25,5,2
15:00:00,2821.00,1,1
15:00:00,2821.25,1,1
15:00:00,2821.50,5,5
15:00:00,2821.75,5,3
15:00:00,2821.50,5,3
15:00:00,2821.25,1,1
15:00:01,2821.50,5,3
15:00:01,2821.25,1,6
15:00:01,2821.50,5,4
15:00:01,2821.25,1,3
15:00:01,2821.00,1,4
15:00:01,2821.25,5,3
15:00:01,2821.50,5,21
15:00:01,2821.75,5,3
15:00:01,2822.00,5,12
15:00:01,2821.00,1,3
15:00:01,2820.75,1,2
15:00:01,2821.75,5,5
15:00:01,2821.50,5,6
15:00:01,2821.75,5,8
15:00:01,2822.00,5,12
15:00:02,2821.50,5,2
15:00:02,2821.00,1,1
15:00:02,2821.75,1,4
15:00:02,2821.50,1,5
15:00:02,2821.00,3,10
15:00:02,2821.75,5,9
15:00:03,2821.50,1,1
15:00:03,2821.75,1,4
15:00:03,2821.50,1,5
15:00:03,2821.75,5,15
15:00:03,2822.00,4,22
15:00:04,2821.75,1,2
15:00:04,2822.00,1,2
15:00:04,2821.75,1,2
15:00:04,2822.00,1,6
15:00:04,2822.25,5,7
15:00:04,2822.50,5,26
